"Het Koninkrijk Engeland",20,21,25,27,29,37,42,43,41,42,45,54,55,57,58,63,66,70,64,74,81,92,95,95,98,99,99,102,101,107,109,115,119,123,118,
"Frankrijk",20,19,21,25,31,28,12,10,12,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Het Duitse Rijk",20,20,21,27,29,39,32,22,17,8,7,7,7,6,6,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Oostenrijk-Hongarije",20,19,19,20,19,16,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Italië",20,21,21,27,32,33,34,41,51,57,60,148,149,146,165,167,167,157,167,227,221,232,270,
"Griekenland",20,20,20,20,19,19,21,21,22,24,24,24,25,24,22,24,24,29,30,30,26,27,16,13,4,3,0,0,0,0,0,0,0,0,0,
"Noorwegen",20,19,20,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zweden",20,21,20,26,27,31,34,44,42,43,42,46,51,70,74,78,88,98,102,107,112,117,119,119,125,126,125,128,127,134,134,143,152,158,157,
"Finland",20,19,20,20,22,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Schotland",20,19,6,3,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ierland",20,19,20,20,21,23,23,21,20,17,15,16,18,20,19,20,20,22,21,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Wit-Russische Republiek",20,19,19,20,21,21,21,20,21,20,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Baffin",20,19,20,21,20,18,21,20,15,11,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Canada",20,21,20,19,23,22,23,29,28,28,27,26,25,25,24,24,27,30,31,31,32,31,31,30,31,32,33,35,36,41,45,51,55,58,57,
"Federale Staten van Amerika",20,19,20,19,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Canada",20,20,20,20,23,25,33,30,32,33,34,35,34,33,33,34,36,41,44,49,52,60,57,57,53,49,45,46,45,48,49,59,64,66,57,
"Deens Groenland",20,19,19,20,21,23,25,25,21,26,27,27,25,26,26,28,29,34,36,36,38,38,38,39,43,44,41,37,33,28,24,16,7,5,2,
"Mexico",20,19,20,20,20,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Verenigde Staten van Amerika",20,19,21,20,26,28,38,48,48,48,52,55,45,54,50,52,57,62,61,65,72,75,67,75,68,69,69,73,74,84,88,94,98,101,101,
"Confederale Staten van Amerika",20,21,18,19,16,12,11,12,10,12,13,13,13,15,17,16,17,17,17,15,16,21,23,24,20,18,17,16,15,14,13,13,14,15,15,
"Verenigde Latijns-Amerikaanse Naties",20,20,20,20,21,22,23,35,38,38,38,43,44,46,46,49,48,41,35,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Caribische Eilandenrepubliek",20,20,20,20,21,23,10,10,11,10,12,13,14,14,14,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Venezuela",20,19,19,31,26,24,23,22,19,18,18,19,25,28,30,36,39,42,45,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Colombia",20,19,20,20,21,22,22,22,23,22,21,19,19,21,18,17,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Verenigde Staten van Brazilië",20,19,19,20,20,19,18,17,18,19,16,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Peru",20,19,20,20,19,19,21,21,22,22,27,31,30,23,29,32,32,32,32,30,31,30,28,27,28,28,27,26,26,27,27,29,30,30,30,
"Argentinië",20,24,34,39,39,38,40,40,35,40,40,41,39,38,53,54,59,75,85,82,82,85,86,87,89,89,51,45,49,55,62,61,
"Republiek van Argentinië",20,19,20,21,21,20,22,26,27,24,17,15,13,13,14,13,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chili",20,19,19,20,21,24,24,28,32,33,33,33,32,28,31,33,38,39,45,46,51,54,57,61,65,67,67,64,64,66,67,69,70,73,64,
"Republiek van Piratini",20,19,19,20,20,20,21,20,19,22,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ecuador",20,19,19,21,21,23,23,23,24,22,25,28,21,9,8,8,7,8,7,7,7,7,6,6,7,7,7,7,6,7,7,6,6,6,5,
"Bolivia",20,19,20,20,20,21,23,24,36,35,34,36,49,42,31,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Frans Algerije",20,20,23,25,28,28,29,30,36,40,43,50,52,55,57,57,60,69,92,97,98,104,112,113,112,116,132,147,148,152,171,188,194,242,236,
"Brits Egypte",20,19,20,21,22,34,34,37,38,39,39,39,38,40,42,34,30,32,31,28,29,31,38,40,42,42,42,43,42,46,47,54,33,0,0,
"Frans West-Afrika",20,19,20,20,21,19,13,5,4,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Abessinië",20,19,21,21,20,19,19,20,21,20,22,22,21,25,28,29,31,33,34,29,33,32,30,29,17,18,14,6,4,4,1,0,0,0,0,
"Anglo-Egyptisch Soedan",20,19,20,21,22,24,25,26,34,33,34,31,31,32,34,35,37,39,40,41,42,43,41,40,39,40,39,40,39,41,40,42,44,31,9,
"Unie van Zuid-Afrika",20,20,20,25,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Belgisch Congo",20,21,26,26,27,26,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Duits Kameroen",20,20,20,17,20,21,23,22,22,26,31,32,37,39,40,37,30,28,27,30,34,46,47,41,40,43,61,62,62,65,65,77,72,74,94,
"Duits Namibië",20,21,21,26,32,39,43,45,47,39,41,41,43,45,45,13,18,16,10,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Duits Tanzania",20,19,20,21,21,20,22,24,24,27,31,36,38,40,42,47,45,40,43,45,46,48,50,62,70,74,77,83,88,96,101,143,161,160,193,
"Portugees Mozambique",20,20,20,19,20,21,22,24,24,25,28,32,32,35,38,39,39,33,21,18,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,
"Frans Madagascar",20,20,20,21,25,25,28,36,35,38,38,37,38,40,41,43,44,44,25,25,20,6,4,14,17,18,22,22,23,25,30,34,35,37,37,
"Republiek Opper Volta",20,20,26,28,31,33,35,36,37,40,43,43,42,43,55,54,57,55,58,58,58,60,58,56,40,28,9,0,0,0,0,0,0,0,0,
"Frans Marokko",20,19,20,21,22,24,27,30,32,34,35,34,33,34,30,26,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Unie van Indochina",20,19,19,20,21,23,22,23,23,25,29,30,27,30,30,32,31,32,32,26,25,27,29,28,28,27,27,27,26,22,26,28,29,30,29,
"Perzië",20,19,19,20,21,23,22,22,20,19,20,20,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ottomaanse Rijk",20,19,19,21,22,23,34,35,33,26,23,26,26,13,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Japanse rijk",20,21,31,29,34,61,64,70,73,69,85,108,114,125,140,179,184,
"Brits Birma",20,19,20,21,32,36,36,34,28,31,34,33,34,34,32,36,35,36,36,35,34,34,33,31,31,31,30,24,10,9,9,9,0,0,0,
"Brits Pakistan",20,19,19,21,22,24,26,30,32,33,33,32,31,32,31,32,31,32,28,31,31,30,29,28,28,21,19,20,23,20,19,18,19,20,6,
"Chinees Sinkiang",20,19,20,21,21,23,23,26,30,30,22,26,28,30,31,30,31,31,32,31,31,25,28,28,28,28,27,26,23,26,26,27,28,29,29,
"Arabië",20,21,25,24,26,28,31,44,45,53,55,54,61,60,57,76,91,97,105,108,113,126,130,122,125,126,124,122,117,118,105,24,7,1,0,
"Communistisch Rusland",20,19,20,21,22,24,32,34,40,40,37,38,34,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Russische Rijk",20,19,20,20,19,20,23,24,24,23,20,17,15,14,12,11,11,10,9,10,13,15,16,17,18,19,17,9,1,0,0,0,0,0,0,
"Siberië",20,19,19,19,20,22,21,21,21,18,16,15,16,18,18,21,20,17,16,15,16,19,20,21,21,18,20,22,24,27,27,24,28,30,30,
"Archangelsk",20,19,20,21,20,20,18,7,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits-India",20,19,19,21,19,17,16,15,14,15,16,19,19,19,21,23,23,25,26,27,30,29,29,30,30,31,30,25,22,22,22,21,18,14,10,
"Kazachstan",20,24,20,19,17,15,13,12,11,11,13,15,17,19,21,24,27,29,31,31,30,29,28,28,28,27,27,27,28,26,0,0,0,0,
"Mantsjoerije",20,19,20,20,21,22,24,24,24,24,24,28,31,33,33,35,37,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Yakutia",20,20,20,20,21,28,27,20,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chinese Rijk",20,19,20,21,21,19,17,16,16,19,20,21,22,20,20,19,20,23,27,28,26,27,28,28,28,27,27,24,26,27,27,19,28,30,29,
"Republiek China",20,21,19,23,27,29,41,43,44,41,43,43,43,48,50,53,42,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Koreaanse Rijk",20,19,21,21,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Australië",20,21,21,21,22,9,6,7,7,8,7,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Australië",20,19,16,17,17,17,17,15,13,12,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Siam",20,19,19,21,21,23,23,23,23,21,23,23,25,27,21,18,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek van Australië",20,21,20,21,20,21,23,26,29,33,30,30,31,33,34,36,39,49,52,55,57,60,59,62,65,67,68,70,74,73,66,53,39,34,9,
"Nederlands Oost-Indië",20,21,20,25,26,26,29,34,30,32,34,36,35,38,36,38,41,47,57,60,61,22,27,26,29,33,40,47,62,49,51,0,0,0,0,
"Nederlands Indonesië",20,19,21,21,20,19,21,28,26,28,28,29,31,36,38,43,45,48,49,51,37,35,11,3,0,0,0,0,0,0,0,0,0,0,0,
"Amerikaanse Filipijnen",20,19,20,20,20,22,23,24,27,27,22,24,26,27,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek van Filipijns Moro",20,19,19,20,21,23,23,21,18,17,16,18,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Nieuw-Zeeland",20,19,17,18,17,20,21,19,18,17,17,16,16,12,11,14,14,19,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nederlands Nieuw-Guinea",20,19,20,16,6,5,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Kashmir",5,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,
"Papoea Nieuw-Guinese",20,19,20,21,26,27,30,31,37,39,40,44,43,45,47,55,60,60,59,63,65,69,81,83,80,80,81,83,84,82,82,63,23,15,9,
"Republiek Amazonas",10,10,10,11,11,9,11,11,11,11,12,11,10,11,11,11,13,13,11,11,13,13,11,12,10,9,9,10,12,13,11,10,9,9,7,
"Nepal",5,5,5,5,5,5,5,6,6,4,4,4,3,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"Spanje",21,16,12,5,2,1,1,1,2,2,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Frankrijk",20,19,21,25,31,28,12,10,12,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Het Duitse Rijk",20,20,21,27,29,39,32,22,17,8,7,7,7,6,6,6,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Oostenrijk-Hongarije",20,19,19,20,19,16,13,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Het Koninkrijk Engeland",20,21,25,27,29,37,42,43,41,42,45,54,55,57,58,63,66,70,64,74,81,92,95,95,98,99,99,102,101,107,109,115,119,123,118,
"Italië",20,21,21,27,32,33,34,41,51,57,60,148,149,146,165,167,167,157,167,227,221,232,270,
"Griekenland",20,20,20,20,19,19,21,21,22,24,24,24,25,24,22,24,24,29,30,30,26,27,16,13,4,3,0,0,0,0,0,0,0,0,0,
"Noorwegen",20,19,20,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zweden",20,21,20,26,27,31,34,44,42,43,42,46,51,70,74,78,88,98,102,107,112,117,119,119,125,126,125,128,127,134,134,143,152,158,157,
"Finland",20,19,20,20,22,22,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Schotland",20,19,6,3,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ierland",20,19,20,20,21,23,23,21,20,17,15,16,18,20,19,20,20,22,21,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Wit-Russische Republiek",20,19,19,20,21,21,21,20,21,20,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Canada",20,21,20,19,23,22,23,29,28,28,27,26,25,25,24,24,27,30,31,31,32,31,31,30,31,32,33,35,36,41,45,51,55,58,57,
"Deens Groenland",20,19,19,20,21,23,25,25,21,26,27,27,25,26,26,28,29,34,36,36,38,38,38,39,43,44,41,37,33,28,24,16,7,5,2,
"Brits Canada",20,20,20,20,23,25,33,30,32,33,34,35,34,33,33,34,36,41,44,49,52,60,57,57,53,49,45,46,45,48,49,59,64,66,57,
"Baffin",20,19,20,21,20,18,21,20,15,11,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Federale Staten van Amerika",20,19,20,19,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Verenigde Staten van Amerika",20,19,21,20,26,28,38,48,48,48,52,55,45,54,50,52,57,62,61,65,72,75,67,75,68,69,69,73,74,84,88,94,98,101,101,
"Confederale Staten van Amerika",20,21,18,19,16,12,11,12,10,12,13,13,13,15,17,16,17,17,17,15,16,21,23,24,20,18,17,16,15,14,13,13,14,15,15,
"Mexico",20,19,20,20,20,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Verenigde Latijns-Amerikaanse Naties",20,20,20,20,21,22,23,35,38,38,38,43,44,46,46,49,48,41,35,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Caribische Eilandenrepubliek",20,20,20,20,21,23,10,10,11,10,12,13,14,14,14,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Venezuela",20,19,19,31,26,24,23,22,19,18,18,19,25,28,30,36,39,42,45,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Colombia",20,19,20,20,21,22,22,22,23,22,21,19,19,21,18,17,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Verenigde Staten van Brazilië",20,19,19,20,20,19,18,17,18,19,16,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Peru",20,19,20,20,19,19,21,21,22,22,27,31,30,23,29,32,32,32,32,30,31,30,28,27,28,28,27,26,26,27,27,29,30,30,30,
"Argentinië",20,24,34,39,39,38,40,40,35,40,40,41,39,38,53,54,59,75,85,82,82,85,86,87,89,89,51,45,49,55,62,61,
"Republiek van Argentinië",20,19,20,21,21,20,22,26,27,24,17,15,13,13,14,13,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chili",20,19,19,20,21,24,24,28,32,33,33,33,32,28,31,33,38,39,45,46,51,54,57,61,65,67,67,64,64,66,67,69,70,73,64,
"Republiek van Piratini",20,19,19,20,20,20,21,20,19,22,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ecuador",20,19,19,21,21,23,23,23,24,22,25,28,21,9,8,8,7,8,7,7,7,7,6,6,7,7,7,7,6,7,7,6,6,6,5,
"Bolivia",20,19,20,20,20,21,23,24,36,35,34,36,49,42,31,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Frans Algerije",20,20,23,25,28,28,29,30,36,40,43,50,52,55,57,57,60,69,92,97,98,104,112,113,112,116,132,147,148,152,171,188,194,242,236,
"Brits Egypte",20,19,20,21,22,34,34,37,38,39,39,39,38,40,42,34,30,32,31,28,29,31,38,40,42,42,42,43,42,46,47,54,33,0,0,
"Frans West-Afrika",20,19,20,20,21,19,13,5,4,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Abessinië",20,19,21,21,20,19,19,20,21,20,22,22,21,25,28,29,31,33,34,29,33,32,30,29,17,18,14,6,4,4,1,0,0,0,0,
"Belgisch Congo",20,21,26,26,27,26,26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Anglo-Egyptisch Soedan",20,19,20,21,22,24,25,26,34,33,34,31,31,32,34,35,37,39,40,41,42,43,41,40,39,40,39,40,39,41,40,42,44,31,9,
"Unie van Zuid-Afrika",20,20,20,25,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Duits Kameroen",20,20,20,17,20,21,23,22,22,26,31,32,37,39,40,37,30,28,27,30,34,46,47,41,40,43,61,62,62,65,65,77,72,74,94,
"Duits Namibië",20,21,21,26,32,39,43,45,47,39,41,41,43,45,45,13,18,16,10,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
"Duits Tanzania",20,19,20,21,21,20,22,24,24,27,31,36,38,40,42,47,45,40,43,45,46,48,50,62,70,74,77,83,88,96,101,143,161,160,193,
"Portugees Mozambique",20,20,20,19,20,21,22,24,24,25,28,32,32,35,38,39,39,33,21,18,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,
"Frans Madagascar",20,20,20,21,25,25,28,36,35,38,38,37,38,40,41,43,44,44,25,25,20,6,4,14,17,18,22,22,23,25,30,34,35,37,37,
"Republiek Opper Volta",20,20,26,28,31,33,35,36,37,40,43,43,42,43,55,54,57,55,58,58,58,60,58,56,40,28,9,0,0,0,0,0,0,0,0,
"Frans Marokko",20,19,20,21,22,24,27,30,32,34,35,34,33,34,30,26,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Unie van Indochina",20,19,19,20,21,23,22,23,23,25,29,30,27,30,30,32,31,32,32,26,25,27,29,28,28,27,27,27,26,22,26,28,29,30,29,
"Japanse rijk",20,21,31,29,34,61,64,70,73,69,85,108,114,125,140,179,184,
"Perzië",20,19,19,20,21,23,22,22,20,19,20,20,19,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ottomaanse Rijk",20,19,19,21,22,23,34,35,33,26,23,26,26,13,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Pakistan",20,19,19,21,22,24,26,30,32,33,33,32,31,32,31,32,31,32,28,31,31,30,29,28,28,21,19,20,23,20,19,18,19,20,6,
"Arabië",20,21,25,24,26,28,31,44,45,53,55,54,61,60,57,76,91,97,105,108,113,126,130,122,125,126,124,122,117,118,105,24,7,1,0,
"Brits-India",20,19,19,21,19,17,16,15,14,15,16,19,19,19,21,23,23,25,26,27,30,29,29,30,30,31,30,25,22,22,22,21,18,14,10,
"Communistisch Rusland",20,19,20,21,22,24,32,34,40,40,37,38,34,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Birma",20,19,20,21,32,36,36,34,28,31,34,33,34,34,32,36,35,36,36,35,34,34,33,31,31,31,30,24,10,9,9,9,0,0,0,
"Russische Rijk",20,19,20,20,19,20,23,24,24,23,20,17,15,14,12,11,11,10,9,10,13,15,16,17,18,19,17,9,1,0,0,0,0,0,0,
"Siberië",20,19,19,19,20,22,21,21,21,18,16,15,16,18,18,21,20,17,16,15,16,19,20,21,21,18,20,22,24,27,27,24,28,30,30,
"Chinees Sinkiang",20,19,20,21,21,23,23,26,30,30,22,26,28,30,31,30,31,31,32,31,31,25,28,28,28,28,27,26,23,26,26,27,28,29,29,
"Kazachstan",20,24,20,19,17,15,13,12,11,11,13,15,17,19,21,24,27,29,31,31,30,29,28,28,28,27,27,27,28,26,0,0,0,0,
"Mantsjoerije",20,19,20,20,21,22,24,24,24,24,24,28,31,33,33,35,37,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek China",20,21,19,23,27,29,41,43,44,41,43,43,43,48,50,53,42,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Yakutia",20,20,20,20,21,28,27,20,12,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Chinese Rijk",20,19,20,21,21,19,17,16,16,19,20,21,22,20,20,19,20,23,27,28,26,27,28,28,28,27,27,24,26,27,27,19,28,30,29,
"Koreaanse Rijk",20,19,21,21,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Siam",20,19,19,21,21,23,23,23,23,21,23,23,25,27,21,18,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Archangelsk",20,19,20,21,20,20,18,7,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Australië",20,21,21,21,22,9,6,7,7,8,7,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek van Australië",20,21,20,21,20,21,23,26,29,33,30,30,31,33,34,36,39,49,52,55,57,60,59,62,65,67,68,70,74,73,66,53,39,34,9,
"Brits Australië",20,19,16,17,17,17,17,15,13,12,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nederlands Oost-Indië",20,21,20,25,26,26,29,34,30,32,34,36,35,38,36,38,41,47,57,60,61,22,27,26,29,33,40,47,62,49,51,0,0,0,0,
"Nederlands Indonesië",20,19,21,21,20,19,21,28,26,28,28,29,31,36,38,43,45,48,49,51,37,35,11,3,0,0,0,0,0,0,0,0,0,0,0,
"Amerikaanse Filipijnen",20,19,20,20,20,22,23,24,27,27,22,24,26,27,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Brits Nieuw-Zeeland",20,19,17,18,17,20,21,19,18,17,17,16,16,12,11,14,14,19,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek van Filipijns Moro",20,19,19,20,21,23,23,21,18,17,16,18,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nederlands Nieuw-Guinea",20,19,20,16,6,5,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Republiek Amazonas",10,10,10,11,11,9,11,11,11,11,12,11,10,11,11,11,13,13,11,11,13,13,11,12,10,9,9,10,12,13,11,10,9,9,7,
"Papoea Nieuw-Guinese",20,19,20,21,26,27,30,31,37,39,40,44,43,45,47,55,60,60,59,63,65,69,81,83,80,80,81,83,84,82,82,63,23,15,9,
"Nepal",5,5,5,5,5,5,5,6,6,4,4,4,3,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"Brits Kashmir",5,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,
"Spanje",21,16,12,5,2,1,1,1,2,2,2,2,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
